r (A),g(r)_weighted_U-F,g(r)_unweighted_U-F,g(r)_weighted_U-U,g(r)_unweighted_U-U,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_U-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.009932085603603603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.019864171207207206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.029796256810810808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.03972834241441441,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.04966042801801802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.059592513621621615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.06952459922522522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.07945668482882882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.08938877043243243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.09932085603603603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.10925294163963964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.11918502724324323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.12911711284684685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.13904919845045044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.14898128405405406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.15891336965765765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.16884545526126124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.17877754086486486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
0.18870962646846845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.19446,0
